Date;Date et heure de restitution;Gare;Code UIC;Nature d'objets;Type d'objets;Type d'enregistrement
2020-01-31T11:29:26+01:00;2020-01-31T12:27:03+01:00;Épinal;87144006;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-28T14:44:33+01:00;2020-01-28T16:28:40+01:00;Épinal;87144006;Outils, Accesoires;Articles de sport, loisirs, camping;Objet trouvé
2020-07-15T14:25:42+02:00;2020-07-18T12:42:36+02:00;Épinal;87144006;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-24T14:51:42+01:00;2020-02-25T17:29:26+01:00;Épinal;87144006;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-10-01T13:53:51+02:00;2020-10-01T17:48:31+02:00;Épinal;87144006;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-08-31T10:09:01+02:00;2020-09-07T15:48:05+02:00;Épinal;87144006;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-01T14:47:23+02:00;2020-10-06T13:38:09+02:00;Épinal;87144006;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-09-19T13:59:22+02:00;2020-09-21T09:04:57+02:00;Épinal;87144006;Clés, porte-clés;Clés, porte-clés, badge magnétique;Objet trouvé
2020-02-13T11:03:38+01:00;2020-02-15T19:17:02+01:00;Évreux Normandie;87387001;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-11-11T22:03:10+01:00;2020-11-12T09:44:56+01:00;Évreux Normandie;87387001;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-01-15T11:35:00+01:00;2020-01-15T12:16:49+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-30T16:16:25+01:00;2020-01-31T11:46:55+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-24T21:52:32+01:00;2020-01-25T13:28:14+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-27T11:54:47+01:00;2020-01-30T10:16:52+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-02-09T10:45:41+01:00;2020-02-15T10:49:46+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-15T07:28:54+01:00;2020-02-19T17:40:40+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-13T11:37:28+01:00;2020-02-27T14:05:40+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
